,Protein name,EC#,Uniprot,name
0, cellulase (EBI-244),3.2.1.4,F6M085,GH5
1, cellulase / cellobiohydrolase (Hu-CBH1;Huta_2387),3.2.1.4,C7NVN0,GH5
2," endo-β-1,4-glucanase (EglB;TCel4;PAB0632)",3.2.1.4,Q9V052,GH5
3," endo-β-1,4-glucanase (EGPh;EglB;TCel3;PH1171)",3.2.1.4,O58925,GH5
4, thermoactive glycoside hydrolase family 5 endoglucanase (Cel5A),3.2.1.4,A0A3Q9CZQ1,GH5
5, Cthe_0405 (CelL),3.2.1.4,A3DCG4,GH5
6," endo-β-1,4-glucanase B (CelB;EgB;Cthe_0536) (Cel5A)",3.2.1.4,P04956,GH5
7," endo-β-1,4-glucanase G (CelG;Cthe_2872) (Cel5D)",3.2.1.4,Q05332,GH5
8," endo-β-1,4-glucanase C (CelC)",3.2.1.4,Q9AL36,GH5
9," endo-β-1,4-glucanase B (CelB;EgB) (Cel5A)",3.2.1.4,P04956,GH5
10," endo-β-1,4-glucanase G (CelG) (Cel5D)",3.2.1.4,Q05332,GH5
11," endo-β-1,4-glucanase / β-1,3:1,4-glucanase H (CelH) (Lic26A;Cel5E)",3.2.1.4,"H6SHY4
P16218",GH5
12," endo-β-1,4-glucanase C (LC2;CelC;EgC) (Cel5B)",3.2.1.4,"P07985
P0C2S3",GH5
13," endo-β-1,4-glucanase E1 (EGAc;EGI;TcE1;Acel_0614) (Cel5A)",3.2.1.4,P54583,GH5
14," endo-β-1,4-glucanase",3.2.1.4,O66064,GH5
15," endo-β-1,4-glucanase (Egl-1139) / III-3A (Cel5A)",3.2.1.4,P06564,GH5
16, endoglucanase (EG-I-1),3.2.1.4,I1V1X7,GH5
17, endoglucanase (Egl;EglA;azo2236),3.2.1.4,A0S6A6,GH5
18," endo-β-1,4-glucanase (Egl;AZC_1301)",3.2.1.4,A8I0V5,GH5
19, endoglucanase (EglII),3.2.1.4,D3Y2F0,GH5
20, endoglucanase A (EngA),3.2.1.4,Q8RPQ6,GH5
21," endo-β-1,4-glucanase (Egl01)",3.2.1.4,A0A0A7EZH7,GH5
22, endoglucanase (BlCel5B; BLi01882; BL01230) (Cel5B),3.2.1.4,Q65JI7,GH5
